Modularity,Eccentricity,Closeness,Harmonic,Betweeness,Clustering,Indegree,Outdegree,Degree,Domain,Proximity,Pageranks,Cluster,Eigenvector
18,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000134,227,0.00371
19,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,229,0.001692
19,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000134,231,0.00371
20,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,233,0.001692
158,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,236,0.001692
158,1,1,1,12,0.107143,6,2,8,0.000594,0.000594,0.000246,238,0.012139
21,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000066,242,0.001692
21,1,1,1,1,0.166667,2,1,3,0.000297,0.000223,0.000082,245,0.004036
21,0,0,0,0,0.081699,18,0,18,0.001783,0.001783,0.000541,247,0.038856
504,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,249,0.001692
504,1,1,1,32,0.04902,16,2,18,0.001585,0.001585,0.000542,251,0.031961
22,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,255,0.001692
22,0,0,0,0,0.333333,3,0,3,0.000297,0.000297,0.000164,257,0.005728
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,259,0.001692
23,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,261,0.001692
23,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000134,263,0.00371
434,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000065,265,0.001692
299,1,1,1,38.5,0.072727,8,3,11,0.001585,0.001015,0.000288,267,0.01849
24,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,271,0.001692
25,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,273,0.001692
25,1,1,1,2,0.166667,2,1,3,0.000198,0.000198,0.000134,275,0.00371
26,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,278,0.001692
27,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000065,280,0.001692
27,0,0,0,0,0.5,2,0,2,0.000198,0.000198,0.000119,282,0.00371
192,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,284,0.001692
192,1,1,1,63,0.022148,41,2,43,0.004161,0.004065,0.000983,287,0.082736
186,1,1,1,1,0,1,2,3,0.000099,0.000099,0.000073,290,0.001692
28,1,1,1,3,0,1,3,4,0.000099,0.000099,0.000105,292,0.001692
3,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,297,0.001692
392,1,1,1,14,0.083333,7,2,9,0.000694,0.000694,0.000283,299,0.013799
41,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,303,0.001692
41,0,0,0,0,0.025641,39,0,39,0.003864,0.003864,0.001232,305,0.078374
29,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,307,0.001692
30,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,309,0.001692
639,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,312,0.001692
639,1,1,1,18,0.069444,6,3,9,0.000594,0.000594,0.000253,314,0.011781
31,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,319,0.001692
31,1,1,1,5,0.133333,5,1,6,0.000495,0.000495,0.000223,321,0.009764
0,1,1,1,0.5,0,1,1,2,0.000099,0.000099,0.000073,324,0.001692
0,1,1,1,2.5,0.133333,5,1,6,0.000495,0.000495,0.000194,326,0.009764
11,1,1,1,2.066667,0,1,3,4,0.000099,0.000099,0.00006,328,0.001692
32,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,331,0.001692
33,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,333,0.001692
442,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,335,0.001692
442,1,1,1,2,0.166667,2,1,3,0.000198,0.000198,0.000134,337,0.00371
34,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000105,340,0.001692
35,1,1,1,1,0,1,1,2,0.000099,0.000099,0.000105,342,0.001692
36,0,0,0,0,0,1,0,1,0.000099,0.000099,0.000073,345,0.001692
