Indegree,Outdegree,Degree,Normalized,Domain,Proximity,Modularity,Clusters,Clustering,Eccentricity,Closness,Harmonic,Betweeness
1,0,1,0.001393,0.001393,0.001393,137,534,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,137,535,0,0,0,0,0
0,2,2,0,0,0,32,536,0.5,1,1,1,0
0,1,1,0,0,0,75,537,0,1,1,1,0
0,1,1,0,0,0,138,538,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,138,539,0,0,0,0,0
0,2,2,0,0,0,16,540,0,1,1,1,0
0,2,2,0,0,0,32,541,0.5,1,1,1,0
0,2,2,0,0,0,32,542,0.5,1,1,1,0
0,1,1,0,0,0,139,543,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,139,544,0,0,0,0,0
0,1,1,0,0,0,140,545,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,140,546,0,0,0,0,0
0,2,2,0,0,0,189,547,0,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,189,548,0,0,0,0,0
2,0,2,0.002786,0.002786,0.002786,189,549,0,0,0,0,0
0,1,1,0,0,0,109,550,0,1,1,1,0
2,2,4,0.002786,0.002786,0.002786,141,551,0.333333,1,1,1,0
3,0,3,0.004178,0.004178,0.004178,141,552,0.333333,0,0,0,0
0,2,2,0,0,0,142,553,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,142,554,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,142,555,0,0,0,0,0
0,1,1,0,0,0,143,556,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,143,557,0,0,0,0,0
0,2,2,0,0,0,144,558,0.5,1,1,1,0
1,1,2,0.001393,0.001393,0.001393,144,559,0.5,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,144,560,0.5,0,0,0,0
0,3,3,0,0,0,145,561,0.333333,2,0.714286,0.8,0
1,5,6,0.001393,0.001393,0.001393,145,562,0.1,1,1,1,2
2,0,2,0.002786,0.002786,0.002786,145,563,0.5,0,0,0,0
2,0,3,0.002786,0.002786,0.002786,145,564,0.333333,0,0,0,0
1,0,1,0.001393,0.002786,0.001857,145,565,0,0,0,0,0
1,0,1,0.001393,0.002786,0.001857,145,566,0,0,0,0,0
0,1,1,0,0,0,146,567,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,146,568,0,0,0,0,0
0,1,1,0,0,0,147,569,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,147,570,0,0,0,0,0
0,1,1,0,0,0,148,571,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,148,572,0,0,0,0,0
0,2,2,0,0,0,149,573,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,149,574,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,149,575,0,0,0,0,0
0,1,1,0,0,0,150,576,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,150,577,0,0,0,0,0
0,1,1,0,0,0,151,578,0,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,151,579,0,0,0,0,0
0,1,1,0,0,0,152,580,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,152,581,0,0,0,0,0
0,2,2,0,0,0,32,582,0.5,1,1,1,0
0,1,1,0,0,0,9,583,0,2,0.666667,0.75,0
0,1,1,0,0,0,153,584,0,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,153,585,0,0,0,0,0
0,2,2,0,0,0,32,586,0.5,1,1,1,0
0,1,1,0,0,0,154,587,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,154,588,0,0,0,0,0
0,1,1,0,0,0,155,589,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,155,590,0,0,0,0,0
0,1,1,0,0,0,141,591,0,1,1,1,0
0,1,1,0,0,0,55,592,0,1,1,1,0
0,1,1,0,0,0,151,593,0,1,1,1,0
0,2,2,0,0,0,32,594,0.5,1,1,1,0
0,1,1,0,0,0,126,595,0,1,1,1,0
0,1,1,0,0,0,156,596,0,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,156,597,0,0,0,0,0
0,1,1,0,0,0,156,598,0,1,1,1,0
0,1,1,0,0,0,157,599,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,157,600,0,0,0,0,0
0,1,1,0,0,0,158,601,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,158,602,0,0,0,0,0
0,3,3,0,0,0,159,603,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,159,604,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,159,605,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,159,606,0,0,0,0,0
0,1,1,0,0,0,45,607,0,1,1,1,0
0,1,1,0,0,0,45,608,0,1,1,1,0
0,1,1,0,0,0,160,609,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,160,610,0,0,0,0,0
0,1,1,0,0,0,18,611,0,1,1,1,0
0,2,2,0,0,0,32,612,0.5,1,1,1,0
0,1,1,0,0,0,45,613,0,1,1,1,0
0,3,3,0,0,0,141,614,0.333333,1,1,1,0
0,1,1,0,0,0,161,615,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,161,616,0,0,0,0,0
0,4,4,0,0,0,162,617,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,162,618,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,162,619,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,162,620,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,162,621,0,0,0,0,0
0,2,2,0,0,0,32,622,0.5,1,1,1,0
0,3,3,0,0,0,141,623,0.333333,1,1,1,0
0,1,1,0,0,0,163,624,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,163,625,0,0,0,0,0
0,1,1,0,0,0,55,626,0,1,1,1,0
0,2,2,0,0,0,19,627,0,1,1,1,0
0,7,7,0,0,0,164,628,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,164,629,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,164,630,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,164,631,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,164,632,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,164,633,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,164,634,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,164,635,0,0,0,0,0
0,1,1,0,0,0,165,636,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,165,637,0,0,0,0,0
0,3,3,0,0,0,166,638,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,166,639,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,166,640,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,166,641,0,0,0,0,0
0,2,2,0,0,0,32,642,0.5,1,1,1,0
0,1,1,0,0,0,167,643,0,1,1,1,0
1,2,3,0.001393,0.001393,0.001393,168,644,0.333333,1,1,1,0
1,2,3,0.001393,0.001393,0.001393,168,645,0.333333,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,168,646,1,0,0,0,0
0,1,1,0,0,0,169,647,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,169,648,0,0,0,0,0
0,1,1,0,0,0,55,649,0,1,1,1,0
0,1,1,0,0,0,170,650,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,170,651,0,0,0,0,0
0,1,1,0,0,0,171,652,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,171,653,0,0,0,0,0
0,1,1,0,0,0,172,654,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,172,655,0,0,0,0,0
0,1,1,0,0,0,173,656,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,173,657,0,0,0,0,0
0,2,2,0,0,0,32,658,0.5,1,1,1,0
0,2,2,0,0,0,32,659,0.5,1,1,1,0
0,2,2,0,0,0,32,660,0.5,1,1,1,0
0,2,2,0,0,0,32,661,0.5,1,1,1,0
0,2,2,0,0,0,141,662,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,141,663,0,0,0,0,0
0,1,1,0,0,0,174,664,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,174,665,0,0,0,0,0
0,4,4,0,0,0,8,666,0.25,1,1,1,0
0,1,1,0,0,0,121,667,0,1,1,1,0
2,0,2,0.002786,0.006964,0.004352,8,668,0.5,0,0,0,0
2,0,2,0.002786,0.006964,0.004352,8,669,0.5,0,0,0,0
0,2,2,0,0,0,175,670,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,175,671,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,175,672,0,0,0,0,0
0,1,1,0,0,0,49,673,0,2,0.666667,0.75,0
0,1,1,0,0,0,176,674,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,176,675,0,0,0,0,0
0,1,1,0,0,0,177,676,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,177,677,0,0,0,0,0
0,2,2,0,0,0,178,678,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,178,679,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,178,680,0,0,0,0,0
0,2,2,0,0,0,15,681,0,1,1,1,0
0,1,1,0,0,0,179,682,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,179,683,0,0,0,0,0
0,1,1,0,0,0,180,684,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,180,685,0,0,0,0,0
0,1,1,0,0,0,181,686,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,181,687,0,0,0,0,0
0,1,1,0,0,0,182,688,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,182,689,0,0,0,0,0
1,2,5,0.001393,0.001393,0.001393,183,690,0.416667,1,1,1,0
2,0,2,0.002786,0.002786,0.002786,183,691,0.5,0,0,0,0
0,1,1,0,0,0,184,692,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,184,693,0,0,0,0,0
0,1,1,0,0,0,18,694,0,1,1,1,0
0,1,1,0,0,0,185,695,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,185,696,0,0,0,0,0
0,3,3,0,0,0,183,697,0.333333,1,1,1,0
0,2,2,0,0,0,19,698,0,1,1,1,0
0,1,1,0,0,0,18,699,0,1,1,1,0
0,2,2,0,0,0,57,700,0,1,1,1,0
0,1,1,0,0,0,55,701,0,1,1,1,0
0,1,1,0,0,0,186,702,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,186,703,0,0,0,0,0
0,1,1,0,0,0,153,704,0,1,1,1,0
0,1,1,0,0,0,187,705,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,187,706,0,0,0,0,0
0,2,2,0,0,0,188,707,0,1,1,1,0
0,2,2,0,0,0,189,708,0,1,1,1,0
0,1,1,0,0,0,190,709,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,190,710,0,0,0,0,0
0,1,1,0,0,0,191,711,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,191,712,0,0,0,0,0
1,0,1,0.001393,0.002786,0.001857,42,713,0,0,0,0,0
0,2,2,0,0,0,32,714,0.5,1,1,1,0
0,2,2,0,0,0,192,715,0,1,1,1,0
1,0,1,0.001393,0.001393,0.001393,192,716,0,0,0,0,0
1,0,1,0.001393,0.001393,0.001393,192,717,0,0,0,0,0
0,1,1,0,0,0,22,718,0,1,1,1,0
